Storage_Location,Container_ID,Sub-Unit_ID,Part_Name,Unit_Cost,Target Quantity,Stocked Qty.,Lot_ID,Date_Stocked,Date_Picked,"0.5""-TC_Compatability","1.5""-TC_Compatability","2""-TC_Compatability","3""-TC_Compatability","4""-TC_Compatability","5""-TC_Compatability",Container Filled Mass (kg),Container Filled Mass (Lbs),Kit Assignmet,Manual Assignment,System SN,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
γA1c1,C20250204-001,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Kit γA1,,,,,,,,,,,,
γA1c2,C20250204-002,,"TC - High Pressure - 1.5"" - Body",$3.58,40,40,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Kit γA1,,,,,,,,,,,,
γA2c1,C20250204-004,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8.00,17.64,Kit γA2,,,,,,,,,,,,
γA2c2,C20250204-005,,"TC - High Pressure - 1.5"" - Body",$3.58,40,40,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7.99,17.61,Kit γA2,,,,,,,,,,,,
γA3c1,C20250204-007,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8.00,17.64,Kit γA3,,,,,,,,,,,,
γA3c2,C20250204-008,,"TC - High Pressure - 1.5"" - Body",$3.58,40,40,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8.01,17.66,Kit γA3,,,,,,,,,,,,
γB1c1,C20250204-010,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB1,,,,,,,,,,,,
γB1c2,C20250204-011,,"TC - High Pressure - 1.5"" - Body",$3.58,40,40,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB1,,,,,,,,,,,,
γB2c1,C20250204-013,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB2,,,,,,,,,,,,
γB2c2,C20250204-014,,"TC - High Pressure - 1.5"" - Body",$3.58,40,40,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB2,,,,,,,,,,,,
γB3c1,C20250204-016,,"TC - High Pressure - 1.5"" - Body",$3.58,42,42,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB3,,,,,,,,,,,,
γB3c2,C20250204-017,,"TC - High Pressure - 1.5"" - Body",$3.58,40,18,OS-2024-07-01,2025-02-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,0.00,Kit γB3,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-002,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-003,,"TC - High Pressure - 4"" - Body",$7.91,4,4,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,4,4,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
γB0a1,C20250303-001,,"TC - High Pressure - 4"" - Body",$10.05,1,1,OS-2024-02-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
εA1a,C20250204-023,B20250303-239,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
εA1b,C20250204-023,B20250303-240,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
εA1c,C20250204-023,B20250303-241,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
εA1d,C20250204-023,B20250303-242,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
εA1e,C20250204-023,B20250303-243,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
εA1f,C20250204-023,B20250303-244,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Assignment Required,,,,,,,,,,,,
δA1,C20250204-023,B20250303-245,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-246,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-247,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-248,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-249,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-250,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-251,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-252,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA1,C20250204-023,B20250303-253,"TC - High Pressure - 5"" - Halves",$14.23,2,2,OS-2024-07-01,2025-02-11,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0.00,Reserve,,,,,,,,,,,,
γA1b3,C20250501-005,B20250303-001,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA1,,,,,,,,,,,,
γA2b3,C20250501-010,B20250303-002,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA2,,,,,,,,,,,,
γA3b3,C20250501-015,B20250303-003,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA3,,,,,,,,,,,,
γB1b3,C20250501-020,B20250303-004,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB1,,,,,,,,,,,,
γB2b3,C20250501-025,B20250303-005,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB2,,,,,,,,,,,,
γB3b3,C20250501-030,B20250303-006,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB3,,,,,,,,,,,,
δA4b1,C20250204-021,B20250303-007,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA4b1,C20250204-021,B20250303-008,"Nut - Brass 3/8-16 x 5/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA4b1,C20250204-021,B20250303-007,"Nut - Brass 3/8-16 x 5/8""",,162,60,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Reserve,,,,,,,,,,,,
γA1b3,C20250501-005,B20250303-009,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA1,,,,,,,,,,,,
γA2b3,C20250501-010,B20250303-010,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA2,,,,,,,,,,,,
γA3b3,C20250501-015,B20250303-011,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γA3,,,,,,,,,,,,
γB1b3,C20250501-020,B20250303-012,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB1,,,,,,,,,,,,
γB2b3,C20250501-025,B20250303-013,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB2,,,,,,,,,,,,
γB3b3,C20250501-030,B20250303-014,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Kit γB3,,,,,,,,,,,,
δA2b2,C20250204-022,B20250303-015,"Washer - Lock - 304SS - 3/8""",,162,162,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Reserve,,,,,,,,,,,,
δA2b2,C20250204-022,B20250303-016,"Washer - Lock - 304SS - 3/8""",,,,OS-2024-07-01,2025-02-11,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,0.00,Reserve,,,,,,,,,,,,
βA0a1,,B20250718-001,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
βA0a1,,B20250718-002,"TC Gasket - 0.5"" - EPDM",,20,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0.00,Assignment Required,,,,,,,,,,,,
